iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,prob1,prob2,prob3,prob4
81,0,21.654523,13.077300,8.569301,0.007922,48950,5359,1.204478,0.507481,0.30603575,0.28410075,0.28456575,0.12529775,0,0,0,0
82,0,24.275423,13.468800,10.798701,0.007922,53341,8445,1.312525,0.799716,0.185147,0.205187,0.27434,0.335326,0,0,0,0
83,0,22.916614,14.259900,8.648792,0.007922,48634,1101,1.196703,0.104261,0.186344,0.25526,0.344891,0.213505,0,0,0,0
84,0,137.576644,6.204000,1.770664,129.601981,28700,8020,0.706201,0.759470,0.347501,0.136723,0.362134,0.153642,1.0,1.0,1.0,0
85,0,17.792392,10.932300,6.852169,0.007922,45645,9204,1.123155,0.871591,0.20844874999999996,0.18238474999999996,0.32301375,0.28615274999999996,0,0,0,0
86,0,19.149333,12.339600,6.801811,0.007922,45496,4364,1.119488,0.413258,0.323994,0.245835,0.191334,0.238837,0,0,0,0
87,0,20.459798,13.125000,7.326876,0.007922,46447,2697,1.142889,0.255398,0.339932,0.257929,0.178889,0.22325,0,0,0,0
88,0,33.187395,17.832000,15.347473,0.007922,61340,1900,1.509350,0.179924,0.225146,0.301081,0.287557,0.186216,0,0,0,0
89,0,23.988935,14.273700,9.707313,0.007922,51073,3494,1.256718,0.330871,0.343555,0.187052,0.231135,0.238258,0,0,0,0
90,0,136.841444,5.785200,1.454264,129.601981,29325,10041,0.721580,0.950852,0.272914,0.158955,0.285141,0.28299,1.0,1.0,1.0,0
91,0,17.084040,10.833000,6.243118,0.007922,44449,8339,1.093725,0.789678,0.264014,0.138938,0.287968,0.30908,0,0,0,0
92,0,96.948684,8.816700,1.728023,86.403961,35592,6203,0.875787,0.587405,0.32837,0.207904,0.172423,0.291303,1.0,0,1.0,0
93,0,32.965594,16.625100,16.332572,0.007922,64090,8673,1.577018,0.821307,0.234953,0.249688,0.221004,0.294355,0,0,0,0
94,0,100.181609,10.655100,3.122548,86.403961,38312,2795,0.942717,0.264678,0.269801,0.199316,0.22631,0.304573,1.0,0,1.0,0
95,0,32.475298,16.320000,16.147376,0.007922,63751,9351,1.568676,0.885511,0.25176525,0.15964525,0.24156724999999998,0.34702225,0,0,0,0
96,0,17.586837,11.835900,5.743014,0.007922,43431,3978,1.068676,0.376705,0.28986100000000004,0.21722200000000003,0.16275800000000004,0.330159,0,0,0,0
97,0,16.946806,10.499700,5.442482,1.004625,42880,7881,1.055118,0.746307,0.213034,0.337875,0.299277,0.149814,0.1151685393258427,0,0,0
98,0,137.843927,4.928400,3.313547,129.601981,25653,9225,0.631225,0.873580,0.316818,0.233249,0.168539,0.281394,1.0,1.0,1.0,0.0
99,0,32.140202,16.445400,15.686880,0.007922,62818,8000,1.545719,0.757576,0.217735,0.234883,0.165571,0.381811,0,0,0,0
100,0,31.703323,16.798200,14.897201,0.007922,61153,5159,1.504749,0.488542,0.285824,0.205855,0.283464,0.224857,0,0,0,0
101,0,106.371498,6.375000,0.376056,99.620442,31451,10201,0.773893,0.966004,0.34480975,0.29310875000000003,0.13351675000000002,0.22856475,1.0,0.3753846153846154,1.0,0
102,0,15.061873,10.121100,4.932851,0.007922,41883,8146,1.030586,0.771402,0.297675,0.210146,0.268122,0.224057,0,0,0,0
103,0,25.601978,14.130300,11.463756,0.007922,54618,7517,1.343947,0.711837,0.37776424999999997,0.27173824999999996,0.16696124999999998,0.18353624999999998,0,0,0,0
104,0,32.588848,16.207200,16.373726,0.007922,64211,10187,1.579995,0.964678,0.29643475,0.18433675000000002,0.21200475000000002,0.30722375,0,0,0,0
105,0,24.390654,14.685300,9.697432,0.007922,50857,1906,1.251403,0.180492,0.35035875,0.28940875000000005,0.14575575000000002,0.21447675000000002,0,0,0,0
106,0,34.839108,18.309300,16.521885,0.007922,63895,2864,1.572219,0.271212,0.16402,0.208684,0.319347,0.307949,0,0,0,0
107,0,33.444420,17.201700,16.234798,0.007922,63808,6469,1.570079,0.612595,0.267519,0.202664,0.375657,0.15416,0,0,0,0
108,0,30.644692,16.794600,13.842170,0.007922,58870,2888,1.448573,0.273485,0.163595,0.182821,0.309373,0.344211,0,0,0,0
109,0,95.456073,8.335500,0.716612,86.403961,33603,5818,0.826845,0.550947,0.21060475,0.35163575,0.24797875000000003,0.18978075000000003,1.0,0,1.0,0
110,0,19.614511,12.834900,6.771689,0.007922,45373,2590,1.116462,0.245265,0.198724,0.337629,0.151224,0.312423,0,0,0,0
111,0,23.020078,13.961400,9.050756,0.007922,49796,3258,1.225295,0.308523,0.295751,0.186869,0.227464,0.289916,0,0,0,0
112,0,59.472669,11.783700,4.483027,43.205942,40913,1634,1.006718,0.154735,0.222566,0.240642,0.321528,0.215264,1.0,0,0,0
113,0,20.694644,11.750700,8.936021,0.007922,49728,10559,1.223622,0.999905,0.25381325,0.20514325,0.20084925,0.34019425000000003,0,0,0,0
114,0,33.584824,17.694000,15.882902,0.007922,62907,3927,1.547908,0.371875,0.17882,0.306186,0.337675,0.177319,0,0,0,0
115,0,139.935893,7.698000,2.635913,129.601981,26949,1289,0.663115,0.122064,0.269052,0.15286,0.283375,0.294713,1.0,1.0,1.0,0
116,0,19.536839,11.871000,7.657916,0.007922,47209,7639,1.161639,0.723390,0.17366175000000003,0.28849675,0.29143875,0.24640275000000003,0,0,0,0
117,0,16.761365,11.737200,5.016242,0.007922,41995,2871,1.033342,0.271875,0.355131,0.142076,0.256933,0.24586,0,0,0,0
118,0,20.235021,13.173000,7.054099,0.007922,45860,1950,1.128445,0.184659,0.34422825,0.13313325000000004,0.34159125,0.18104725000000005,0,0,0,0
119,0,33.032635,17.541000,15.483712,0.007922,62106,3636,1.528199,0.344318,0.176649,0.3282,0.281027,0.214124,0,0,0,0
120,0,95.970680,7.866900,1.699819,86.403961,35538,9315,0.874459,0.882102,0.145606,0.357328,0.145764,0.351302,1.0,0,1.0,0
121,0,21.812177,13.766100,8.038154,0.007922,47711,1824,1.173991,0.172727,0.239626,0.226751,0.363263,0.17036,0,0,0,0
122,0,96.472405,8.938800,1.129644,86.403961,34415,4619,0.846826,0.437405,0.351042,0.324956,0.153218,0.170784,1.0,0,1.0,0
123,0,23.530103,14.327100,9.195081,0.007922,49964,2207,1.229429,0.208996,0.191016,0.208144,0.265433,0.335407,0,0,0,0
